"countyName","voters2024"
"ALCONA COUNTY",7531
"ALGER COUNTY",5302
"ALPENA COUNTY",17319
"ANTRIM COUNTY",17027
"ARENAC COUNTY",9214
"BARAGA COUNTY",4354
"BENZIE COUNTY",12944
"CHARLEVOIX COUNTY",17764
"CHEBOYGAN COUNTY",16543
"CHIPPEWA COUNTY",18489
"CRAWFORD COUNTY",8539
"DELTA COUNTY",21999
"DICKINSON COUNTY",15424
"EMMET COUNTY",23042
"GOGEBIC COUNTY",8374
"GRAND TRAVERSE COUNTY",63221
"HOUGHTON COUNTY",19511
"IOSCO COUNTY",15849
"IRON COUNTY",7086
"KALKASKA COUNTY",11609
"KEWEENAW COUNTY",1629
"LEELANAU COUNTY",17834
"LUCE COUNTY",3011
"MACKINAC COUNTY",7298
"MARQUETTE COUNTY",39305
"MENOMINEE COUNTY",13160
"MISSAUKEE COUNTY",9194
"MONTMORENCY COUNTY",6433
"OGEMAW COUNTY",12696
"ONTONAGON COUNTY",3877
"OSCODA COUNTY",5238
"OTSEGO COUNTY",16937
"PRESQUE ISLE COUNTY",8824
"ROSCOMMON COUNTY",16191
"SCHOOLCRAFT COUNTY",4937
"WEXFORD COUNTY",19584
